key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
competitive matrix,competitive matrix,ma trận cạnh tranh,ma trận cạnh tranh,"shows how and why a startup has a clear if not measurable competitive advantage for relevant features/benefits by weight according to customers, such as price and quality in relation to competitors","cho thấy bằng cách nào và vì sao một startup có lợi thế cạnh tranh rõ ràng (dù có thể chưa đo lường được) đối với các đặc điểm/lợi ích liên quan, được đánh giá theo mức độ quan trọng đối với khách hàng, chẳng hạn như giá và chất lượng so với đối thủ",Chương 11,approved,Source: glossary.md — Chương 11
customer empathy map,customer empathy map,bản đồ thấu cảm khách hàng,bản đồ thấu cảm khách hàng,"portrayal of a target customer, the most promising candidate from a business’ customer segments, which explores the understanding of that person’s condition from their perspective to understand his or her problems and needs","sự mô tả một khách hàng mục tiêu, là ứng viên triển vọng nhất trong các phân khúc khách hàng của doanh nghiệp, nhằm khám phá và hiểu tình trạng của người đó từ góc nhìn của họ để hiểu các vấn đề và nhu cầu của họ",Chương 11,approved,Source: glossary.md — Chương 11
feasibility analysis,feasibility analysis,phân tích khả thi,phân tích khả thi,"feasibility analysis is the process of determining if a business idea is viable; it includes testing the viability of your product or service, evaluating your management team, assessing the market for your concept, and estimating financial viability","phân tích tính khả thi là quá trình xác định liệu một ý tưởng kinh doanh có khả thi hay không; bao gồm việc kiểm tra tính khả thi của sản phẩm hoặc dịch vụ, đánh giá đội ngũ quản lý, đánh giá thị trường cho ý tưởng đó và ước tính tính khả thi về tài chính",Chương 11,approved,Source: glossary.md — Chương 11
financial analysis,financial analysis,phân tích tài chính,phân tích tài chính,"forecasts revenue and expenses; projects a financial narrative; and estimates project costs, valuations, and cash flow projections","dự báo doanh thu và chi phí; xây dựng bức tranh tài chính; và ước tính chi phí dự án, định giá và các dự báo dòng tiền",Chương 11,approved,Source: glossary.md — Chương 11
go-or-no-go decision,go-or-no-go decision,quyết định tiếp tục hoặc dừng,quyết định tiếp tục hoặc dừng,determination to proceed with or abandon a plan or project,việc xác định tiếp tục triển khai hoặc từ bỏ một kế hoạch hoặc dự án,Chương 11,approved,Source: glossary.md — Chương 11
lean model canvas,lean model canvas,mô hình canvas tinh gọn,mô hình canvas tinh gọn,"developed by Ash Maurya as a derivation of the original business model canvas; this canvas differs by addressing unfair advantages, problems, solutions, and key metrics rather than customer relationships, key partners, key activities, and key resources","được phát triển bởi Ash Maurya như một phiên bản biến thể của mô hình business model canvas; mô hình này khác ở chỗ tập trung vào lợi thế cạnh tranh không công bằng, vấn đề, giải pháp và các chỉ số chính thay vì mối quan hệ khách hàng, đối tác chính, hoạt động chính và nguồn lực chính",Chương 11,approved,Source: glossary.md — Chương 11
projected cash flow,projected cash flow,dòng tiền dự kiến,dòng tiền dự kiến,"outline of preliminary expenses, operating expenses, and reserves","bản phác thảo các chi phí ban đầu, chi phí vận hành và các khoản dự trữ",Chương 11,approved,Source: glossary.md — Chương 11
social business model canvas,social business model canvas,mô hình kinh doanh xã hội canvas,mô hình kinh doanh xã hội canvas,"modification of the business model canvas, designed for social entrepreneurship venues; new areas address impact measures around social impacts and its measurement, surplus, beneficiary segments and social and customer value propositions","phiên bản điều chỉnh của business model canvas, được thiết kế cho các doanh nghiệp xã hội; các thành phần mới đề cập đến việc đo lường tác động xã hội, phần thặng dư, các nhóm thụ hưởng và các giá trị đề xuất xã hội và khách hàng",Chương 11,approved,Source: glossary.md — Chương 11
value proposition canvas,value proposition canvas,mô hình giá trị đề xuất canvas,mô hình giá trị đề xuất canvas,"one of the nine blocks on the business model canvas, this additional tool developed by Osterwalder and Pigneur is designed to illustrate a deeper dive into customer understanding and value creation of a business",một trong chín thành phần của business model canvas; công cụ bổ sung này do Osterwalder và Pigneur phát triển nhằm minh họa việc đào sâu hơn vào sự hiểu biết khách hàng và việc tạo ra giá trị của doanh nghiệp,Chương 11,approved,Source: glossary.md — Chương 11
strategic alignment,strategic alignment,sự liên kết chiến lược,sự liên kết chiến lược,"degree to which an organization’s activities, resources, and objectives are aligned with its overall strategy","mức độ mà các hoạt động, nguồn lực và mục tiêu của tổ chức được liên kết chặt chẽ với chiến lược tổng thể",Chương 11 (bổ sung),approved,Source: glossary.md — Chương 11 (bổ sung)
business viability,business viability,tính khả thi của mô hình kinh doanh,tính khả thi của mô hình kinh doanh,ability of a business idea or model to generate sustainable revenue and operate successfully over time,khả năng một ý tưởng hoặc mô hình kinh doanh có thể tạo ra doanh thu bền vững và hoạt động hiệu quả trong dài hạn,Chương 11 (bổ sung),approved,Source: glossary.md — Chương 11 (bổ sung)
competitive positioning,competitive positioning,định vị cạnh tranh,định vị cạnh tranh,process of establishing a business’s position relative to competitors in the minds of target customers,quá trình xác định vị trí của doanh nghiệp so với đối thủ cạnh tranh trong nhận thức của khách hàng mục tiêu,Chương 11 (bổ sung),approved,Source: glossary.md — Chương 11 (bổ sung)
revenue model design,revenue model design,thiết kế mô hình doanh thu,thiết kế mô hình doanh thu,"process of defining how a business generates revenue from its products, services, or customers","quá trình xác định cách thức doanh nghiệp tạo ra doanh thu từ sản phẩm, dịch vụ hoặc khách hàng",Chương 11 (bổ sung),approved,Source: glossary.md — Chương 11 (bổ sung)
absolute capacity,absolute capacity,công suất tối đa,công suất tối đa,highest volume of units that a machine can produce within a specified time period,sản lượng đơn vị lớn nhất mà một máy có thể sản xuất trong một khoảng thời gian xác định,Chương 12,approved,Source: glossary.md — Chương 12
baselining,baselining,thiết lập đường cơ sở,thiết lập đường cơ sở,internal comparison of actual outcomes with expected outcomes,việc so sánh nội bộ giữa kết quả thực tế và kết quả kỳ vọng,Chương 12,approved,Source: glossary.md — Chương 12
business accelerator,business accelerator,chương trình tăng tốc khởi nghiệp,chương trình tăng tốc khởi nghiệp,organization formed by an alliance of business professionals who assist entrepreneurs in their startup or early stage businesses in exchange for an equity investment in the entrepreneur’s company,"tổ chức được hình thành bởi sự liên kết của các chuyên gia kinh doanh nhằm hỗ trợ các doanh nhân trong giai đoạn khởi nghiệp hoặc giai đoạn đầu, đổi lại một khoản đầu tư vốn cổ phần vào doanh nghiệp của họ",Chương 12,approved,Source: glossary.md — Chương 12
